1	3	3	3	4	5	7	8	9	25	26	29	30	31	31	31
32	34	34	34	35	36	38	39	40	56	57	60	61	62	62	62
63	65	65	65	66	67	69	70	71	87	88	91	92	93	93	93
94	96	96	96	97	98	100	101	102	118	119	122	123	124	124	124

10	11	18	19	20	25	26	27	28	30	31
41	42	49	50	51	56	57	58	59	61	62
72	73	80	81	82	87	88	89	90	92	93
103	104	111	112	113	118	119	120	121	123	124
 
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12

1200	1200	1200	2400	2400	1800	1800	1440	2880	1440	1440	1200	1200	1200	1200	2400	1200	1200	2136	2136	1440	960	1440	3000	600	240	1200	1200	1200	1080	1500	1500	1200	600	1440	960	720	1200	840

1200	1200	1200	2400	2400	1800	1800	1440	2880	1440	1440	1200	1200	1200	1200	2400	1200	1200	2136	2136	1440	960	1440	3000	600	240	1200	1200	1200	1080	1500	1500	1200	600	1440	960	720	1200	840

1200	1200	1200	2400	2400	1800	1800	1440	2880	1440	1440	1200	1200	1200	1200	2400	1200	1200	2136	2136	1440	960	1440	3000	600	240	1200	1200	1200	1080	1500	1500	1200	600	1440	960	720	1200	840

1200	1200	1200	2400	2400	1800	1800	1440	2880	1440	1440	1200	1200	1200	1200	2400	1200	1200	2136	2136	1440	960	1440	3000	600	240	1200	1200	1200	1080	1500	1500	1200	600	1440	960	720	1200	840
